"451924","451888","DA_RSM_BUSINESSUNIT_CODE","Query Item","400048"
"451904","451888","DA_RSM_BUSINESSUNIT_TEXT","Query Item","400048"
"451964","451888","DA_RSM_KONTINENT","Query Item","400048"
"451928","451888","DA_RSM_NR","Query Item","400048"
"451960","451888","DA_RSM_REGION","Query Item","400048"
"451920","451888","DA_RSM_TEXT","Query Item","400048"
"451972","451888","DA_RSM_VERTRIEBSGEBIET_NR","Query Item","400048"
"451892","451888","DA_RSM_VERTRIEBSGEBIET_TEXT","Query Item","400048"
"451944","451888","DA_USER1","Query Item","400048"
"451948","451888","DA_USER2","Query Item","400048"
"451936","451888","DA_USER3","Query Item","400048"
"451940","451888","DA_USER4","Query Item","400048"
"451896","451888","DA_USER5","Query Item","400048"
"445412","440008","DIM_BRANCHE","Query Subject","400048"
"445440","445412","DBR_BRANCHE_1ST_NR","Query Item","400048"
"445460","445412","DBR_BRANCHE_1ST_TEXT","Query Item","400048"
"445468","445412","DBR_BRANCHE_1ST_TEXT_DE","Query Item","400048"
"445444","445412","DBR_BRANCHE_2ST_NR","Query Item","400048"
"445456","445412","DBR_BRANCHE_2ST_TEXT","Query Item","400048"
"445448","445412","DBR_BRANCHE_3ST_NR","Query Item","400048"
"445436","445412","DBR_BRANCHE_3ST_TEXT","Query Item","400048"
"445428","445412","DBR_BRANCHE_4ST_NR","Query Item","400048"
"445432","445412","DBR_BRANCHE_4ST_TEXT","Query Item","400048"
"445464","445412","DBR_BRANCHE_NR","Query Item","400048"
"445472","445412","DBR_BRANCHE_TEXT","Query Item","400048"
"445424","445412","DBR_BRANCHE_TEXT_DE","Query Item","400048"
"445452","445412","DBR_BUSINESS_UNIT","Query Item","400048"
"445476","445412","DBR_BUSINESS_UNIT_CODE","Query Item","400048"
"445420","445412","DBR_BUSINESS_UNIT_DE","Query Item","400048"
"445416","445412","DBR_MANDANT_NR","Query Item","400048"
"452216","440008","DIM_BRANCHE_HIST","Query Subject","400048"
"452244","452216","DBR_BRANCHE_1ST_NR","Query Item","400048"
"452264","452216","DBR_BRANCHE_1ST_TEXT","Query Item","400048"
"452272","452216","DBR_BRANCHE_1ST_TEXT_DE","Query Item","400048"
"452248","452216","DBR_BRANCHE_2ST_NR","Query Item","400048"
"452260","452216","DBR_BRANCHE_2ST_TEXT","Query Item","400048"
"452252","452216","DBR_BRANCHE_3ST_NR","Query Item","400048"
"452240","452216","DBR_BRANCHE_3ST_TEXT","Query Item","400048"
"452232","452216","DBR_BRANCHE_4ST_NR","Query Item","400048"
"452236","452216","DBR_BRANCHE_4ST_TEXT","Query Item","400048"
"452268","452216","DBR_BRANCHE_NR","Query Item","400048"
"452276","452216","DBR_BRANCHE_TEXT","Query Item","400048"
"452228","452216","DBR_BRANCHE_TEXT_DE","Query Item","400048"
"452256","452216","DBR_BUSINESS_UNIT","Query Item","400048"
"452280","452216","DBR_BUSINESS_UNIT_CODE","Query Item","400048"
"452224","452216","DBR_BUSINESS_UNIT_DE","Query Item","400048"
"452220","452216","DBR_MANDANT_NR","Query Item","400048"
"445480","440008","DIM_LAND","Query Subject","400048"
"445500","445480","LAN_KONTINENT","Query Item","400048"
"445488","445480","LAN_LAENDERGRUPPE","Query Item","400048"
"445504","445480","LAN_LAND_NR","Query Item","400048"
"445532","445480","LAN_LAND_TEXT","Query Item","400048"
"445524","445480","LAN_LAND_TEXT_DE","Query Item","400048"
"445484","445480","LAN_MANDANT_NR","Query Item","400048"
"445520","445480","LAN_NATIONALITAETS_KZ","Query Item","400048"
"445512","445480","LAN_USER1","Query Item","400048"
"445508","445480","LAN_USER2","Query Item","400048"
"445496","445480","LAN_USER3","Query Item","400048"
"445492","445480","LAN_USER4","Query Item","400048"
"445516","445480","LAN_USER5","Query Item","400048"
"445528","445480","LAN_WAEHRUNG","Query Item","400048"
"444020","440008","DIM_PRODUKTFAMILIE","Query Subject","400048"
"444080","444020","DPF_KLASSIFIZIERUNG","Query Item","400048"
"444068","444020","DPF_KLASSIFIZIERUNG_DE","Query Item","400048"
"444064","444020","DPF_MANDANT_NR","Query Item","400048"
"444092","444020","DPF_PRODUKTFAMILIE","Query Item","400048"
"444072","444020","DPF_PRODUKTFAMILIE_1ST","Query Item","400048"
"444032","444020","DPF_PRODUKTFAMILIE_1ST_TEXT","Query Item","400048"
"444036","444020","DPF_PRODUKTFAMILIE_1ST_TEXT_DE","Query Item","400048"
"444076","444020","DPF_PRODUKTFAMILIE_2ST","Query Item","400048"
"444028","444020","DPF_PRODUKTFAMILIE_2ST_TEXT","Query Item","400048"
"444056","444020","DPF_PRODUKTFAMILIE_2ST_TEXT_DE","Query Item","400048"
"444084","444020","DPF_PRODUKTFAMILIE_3ST","Query Item","400048"
"444060","444020","DPF_PRODUKTFAMILIE_3ST_TEXT","Query Item","400048"
"444048","444020","DPF_PRODUKTFAMILIE_3ST_TEXT_DE","Query Item","400048"
"444088","444020","DPF_PRODUKTFAMILIE_4ST","Query Item","400048"
"444024","444020","DPF_PRODUKTFAMILIE_4ST_TEXT","Query Item","400048"
